id,labels,properties
516,['Article'],"{'category': 'health', 'createdAt': '2024-11-15T12:55:14.312Z', 'url': 'https://www.thehindu.com/news/national/manipur-jiribam-militants-killed-in-encounter-november-11-2024/article68855736.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=5&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
517,['Tag'],{'name': 'Manipur Violence'}
518,['Tag'],{'name': 'Kuki-Zo'}
519,['Tag'],{'name': 'Assam’s Cachar'}
520,['Tag'],{'name': 'Sanjeev Kumar'}
521,['Tag'],{'name': 'Tangkhul Naga'}
522,['Tag'],{'name': 'Kangso Horam'}
523,['Tag'],{'name': 'Manipur'}
524,['Tag'],{'name': 'Jiribam'}
525,['Tag'],{'name': 'Central Reserve Police Force'}
526,['Tag'],{'name': 'The Kuki-Zo Council'}
527,['Tag'],{'name': 'Churachandpur'}
528,['Tag'],{'name': 'CRPF'}
529,['Tag'],{'name': 'Jakuradhor'}
530,['Tag'],{'name': 'Borobekra'}
531,['Tag'],{'name': 'Silchar Medical College and'}
532,['Tag'],{'name': 'Assam'}
533,['Tag'],{'name': 'AR'}
534,['Tag'],{'name': 'CRPF party'}
535,['Tag'],{'name': 'the Kuki-Zo Council'}
536,['Tag'],{'name': 'District Magistrate Krishna Kumar'}
537,['Tag'],{'name': 'Imphal’s Jawaharlal Nehru Institute of Medical Sciences Hospital'}
538,['Tag'],{'name': 'Bishnupur'}
539,['Tag'],{'name': 'manipur violence militants'}
540,['Tag'],{'name': 'manipur violence curfew'}
541,['Tag'],{'name': 'killed manipur jiribam'}
542,['Tag'],{'name': 'militants killed manipur'}
543,['Tag'],{'name': 'security forces manipur'}
544,['Tag'],{'name': 'killed manipur'}
545,['Tag'],{'name': 'manipur violence'}
546,['Tag'],{'name': 'forces manipur jiribam'}
547,['Tag'],{'name': 'attack jiribam district'}
548,['Tag'],{'name': 'manipur police'}
